id,sourcePort,destinationPort,distance
297,Bang Sapan (BS),Dung Quat (DQT),955
298,Bang Sapan (BS),Davao (Sasa Wharf) (DVO),1901
299,Bang Sapan (BS),Futong (FTG),930
300,Bang Sapan (BS),Godau port  (GDP),603
301,Bang Sapan (BS),HO CHI MINH (HCM),621
302,Bang Sapan (BS),Hon Gai (HON),1410
303,Bang Sapan (BS),Haiphong (HPH),1454
304,Bang Sapan (BS),Jakarta (JAK),1168
305,Bang Sapan (BS),K.K. Kota Kinabalu (KK),1250
306,Bang Sapan (BS),Kemaman (KMN),508
307,Bang Sapan (BS),Kuantan (KT),497
308,Bang Sapan (BS),Kuching (KUC),944
309,Bang Sapan (BS),Laem Chabang (LCB),140
310,Bang Sapan (BS),Lahad Datu (LDU),1450
311,Bang Sapan (BS),Lumut (LUM),1050
312,Bang Sapan (BS),Malacca (MAL),847
313,Bang Sapan (BS),Maptaphut (MAT),130
314,Bang Sapan (BS),Century Harbour (MHI),155
315,Bang Sapan (BS),Manila Habour (MNL),1440
316,Bang Sapan (BS),Muara (MUR),1106
317,Bang Sapan (BS),My Tho (MUT),690
318,Bang Sapan (BS),Nghi Son (NGH),1352
319,Bang Sapan (BS),Nunukan (NNX),1647
320,Bang Sapan (BS),Pasir Gudang (PAS),722
321,Bang Sapan (BS),Phumy (PHU),617
322,Bang Sapan (BS),Port Klang (PKL),925
323,Bang Sapan (BS),Yangon (RGN),1810
324,Bang Sapan (BS),Sandakan (SAN),1465
325,Bang Sapan (BS),Singapore (SG),720
326,Bang Sapan (BS),Steung Hav (SHV),243
327,Bang Sapan (BS),Songkhla (SK),250
328,Bang Sapan (BS),Son Duong (SOD),1231
329,Bang Sapan (BS),Semarang - Tanjung Emas (SRG),1390
330,Bang Sapan (BS),Surabaya (SUBY),1360
331,Bang Sapan (BS),Terengganu (TGG),436
332,Bang Sapan (BS),Tanjung Batu (TJQ),1070
333,Bang Sapan (BS),Can Tho (VCA),537
334,Bang Sapan (BS),Vung Tau (VUT),587
335,Bintan (BTN),Century Harbour (MHI),864
336,Bintan (BTN),Songkhla (SK),527
337,Bontang (BXT),Tacloban (TAC),930
338,Kolkata (CCU),Bangkok (BK),2545
339,Cayagan de Oro City (Macabalan wharf) (CDO),Bintulu (BIN),880
340,Cayagan de Oro City (Macabalan wharf) (CDO),Bangkok (BK),1880
341,Cayagan de Oro City (Macabalan wharf) (CDO),Bang Sapan (BS),1820
342,Cayagan de Oro City (Macabalan wharf) (CDO),Kemaman (KMN),1360
343,Cayagan de Oro City (Macabalan wharf) (CDO),Kuantan (KT),1360
344,Cayagan de Oro City (Macabalan wharf) (CDO),Labuan (LBN),689
345,Cayagan de Oro City (Macabalan wharf) (CDO),Son Duong (SOD),1275
346,Cayagan de Oro City (Macabalan wharf) (CDO),Surat Thanee (SRT),1751
347,Cayagan de Oro City (Macabalan wharf) (CDO),Tawau (TAW),568
348,Cayagan de Oro City (Macabalan wharf) (CDO),Tanjong Manis (TGM),1005
349,Cigading (CIG),Bangkok (BK),1320
350,Cigading (CIG),KUM,420
351,Cigading (CIG),Maptaphut (MAT),1250
352,Cigading (CIG),Sungai Guntung (SGGT),550
